,Borehole,Longitude,Latitudes,Data,Data Contact,Country
131,CA-182-0,-120.51,50.66,http://geothermal.earth.lsa.umich.edu/DATA/CA-182-0.html,A.M. Jessop,CA
132,CA-187-1,-124.43,54.63,http://geothermal.earth.lsa.umich.edu/DATA/CA-187-1.html,A.M. Jessop,CA
133,CA-187-2,-124.43,54.63,http://geothermal.earth.lsa.umich.edu/DATA/CA-187-2.html,A.M. Jessop,CA
134,CA-289-1,-133.75,60.99,http://geothermal.earth.lsa.umich.edu/DATA/CA-289-1.html,A.M. Jessop,CA
135,CA-289-2,-133.75,60.99,http://geothermal.earth.lsa.umich.edu/DATA/CA-289-2.html,A.M. Jessop,CA
136,CA-289-4,-133.75,60.99,http://geothermal.earth.lsa.umich.edu/DATA/CA-289-4.html,A.M. Jessop,CA
137,CA-290-1,-129.22,62.47,http://geothermal.earth.lsa.umich.edu/DATA/CA-290-1.html,A.M. Jessop,CA
138,CA-297-3,-127.33,60.35,http://geothermal.earth.lsa.umich.edu/DATA/CA-297-3.html,A.M. Jessop,CA
139,CA-298-1,-95.44,50.43,http://geothermal.earth.lsa.umich.edu/DATA/CA-298-1.html,A.M. Jessop,CA
140,CA-298-2,-95.42,50.42,http://geothermal.earth.lsa.umich.edu/DATA/CA-298-2.html,A.M. Jessop,CA
141,CA-298-3,-95.41,50.42,http://geothermal.earth.lsa.umich.edu/DATA/CA-298-3.html,A.M. Jessop,CA
142,CA-298-4,-95.45,50.42,http://geothermal.earth.lsa.umich.edu/DATA/CA-298-4.html,A.M. Jessop,CA
143,CA-402-1,-62.60,45.54,http://geothermal.earth.lsa.umich.edu/DATA/CA-402-1.html,A.M. Jessop,CA
144,CA-402-5,-62.63,45.63,http://geothermal.earth.lsa.umich.edu/DATA/CA-402-5.html,A.M. Jessop,CA
145,CA-403-0,-65.25,45.73,http://geothermal.earth.lsa.umich.edu/DATA/CA-403-0.html,A.M. Jessop,CA
146,CA-405-0,-66.30,47.56,http://geothermal.earth.lsa.umich.edu/DATA/CA-405-0.html,A.M. Jessop,CA
147,CA-407-1,-57.38,49.29,http://geothermal.earth.lsa.umich.edu/DATA/CA-407-1.html,A.M. Jessop,CA
148,CA-415-0,-65.88,47.72,http://geothermal.earth.lsa.umich.edu/DATA/CA-415-0.html,A.M. Jessop,CA
149,CA-436-1,-82.43,48.30,http://geothermal.earth.lsa.umich.edu/DATA/CA-436-1.html,K. Wang,CA
150,CA-436-3,-82.43,48.30,http://geothermal.earth.lsa.umich.edu/DATA/CA-436-3.html,A.M. Jessop,CA
151,CA-436-4,-82.43,48.30,http://geothermal.earth.lsa.umich.edu/DATA/CA-436-4.html,K. Wang,CA
152,CA-437-3,-82.41,47.94,http://geothermal.earth.lsa.umich.edu/DATA/CA-437-3.html,K. Wang,CA
153,CA-437-4,-82.41,47.94,http://geothermal.earth.lsa.umich.edu/DATA/CA-437-4.html,A.M. Jessop,CA
154,CA-438-1,-77.74,49.71,http://geothermal.earth.lsa.umich.edu/DATA/CA-438-1.html,K. Wang,CA
155,CA-438-2,-77.64,49.78,http://geothermal.earth.lsa.umich.edu/DATA/CA-438-2.html,K. Wang,CA
156,CA-442-18,-106.96,50.92,http://geothermal.earth.lsa.umich.edu/DATA/CA-442-18.html,A.M. Jessop,CA
157,CA-442-22,-107.00,50.95,http://geothermal.earth.lsa.umich.edu/DATA/CA-442-22.html,A.M. Jessop,CA
158,CA-442-3,-106.86,50.88,http://geothermal.earth.lsa.umich.edu/DATA/CA-442-3.html,A.M. Jessop,CA
159,CA-442-6,-106.90,50.90,http://geothermal.earth.lsa.umich.edu/DATA/CA-442-6.html,K. Wang,CA
160,CA-655-0,-100.55,49.03,http://geothermal.earth.lsa.umich.edu/DATA/CA-655-0.html,J. Majorowicz,CA
161,CA-8705,-72.95,46.49,http://geothermal.earth.lsa.umich.edu/DATA/CA-8705.html,J-C Mareschal,CA
162,CA-8706,-79.10,48.28,http://geothermal.earth.lsa.umich.edu/DATA/CA-8706.html,J-C Mareschal,CA
163,CA-8707,-79.09,48.28,http://geothermal.earth.lsa.umich.edu/DATA/CA-8707.html,J-C Mareschal,CA
164,CA-8708,-77.56,48.10,http://geothermal.earth.lsa.umich.edu/DATA/CA-8708.html,J-C Mareschal,CA
165,CA-8709,-77.56,48.10,http://geothermal.earth.lsa.umich.edu/DATA/CA-8709.html,J-C Mareschal,CA
166,CA-8720,-65.96,48.83,http://geothermal.earth.lsa.umich.edu/DATA/CA-8720.html,J-C Mareschal,CA
167,CA-8721,-66.02,48.82,http://geothermal.earth.lsa.umich.edu/DATA/CA-8721.html,J-C Mareschal,CA
168,CA-8723,-66.13,48.80,http://geothermal.earth.lsa.umich.edu/DATA/CA-8723.html,J-C Mareschal,CA
169,CA-8725,-66.15,48.79,http://geothermal.earth.lsa.umich.edu/DATA/CA-8725.html,J-C Mareschal,CA
170,CA-8736,-75.85,49.60,http://geothermal.earth.lsa.umich.edu/DATA/CA-8736.html,J-C Mareschal,CA
171,CA-8740,-75.87,49.62,http://geothermal.earth.lsa.umich.edu/DATA/CA-8740.html,J-C Mareschal,CA
172,CA-8742,-74.81,49.79,http://geothermal.earth.lsa.umich.edu/DATA/CA-8742.html,J-C Mareschal,CA
173,CA-8743,-74.81,49.80,http://geothermal.earth.lsa.umich.edu/DATA/CA-8743.html,J-C Mareschal,CA
174,CA-8744,-77.73,49.72,http://geothermal.earth.lsa.umich.edu/DATA/CA-8744.html,J-C Mareschal,CA
175,CA-8745,-77.73,49.71,http://geothermal.earth.lsa.umich.edu/DATA/CA-8745.html,J-C Mareschal,CA
176,CA-8746,-77.74,49.72,http://geothermal.earth.lsa.umich.edu/DATA/CA-8746.html,J-C Mareschal,CA
177,CA-8810,-78.71,47.40,http://geothermal.earth.lsa.umich.edu/DATA/CA-8810.html,J-C Mareschal,CA
178,CA-8811,-78.71,47.40,http://geothermal.earth.lsa.umich.edu/DATA/CA-8811.html,J-C Mareschal,CA
179,CA-8812,-78.71,47.40,http://geothermal.earth.lsa.umich.edu/DATA/CA-8812.html,J-C Mareschal,CA
180,CA-8813,-78.71,47.40,http://geothermal.earth.lsa.umich.edu/DATA/CA-8813.html,J-C Mareschal,CA
181,CA-8814,-77.45,44.50,http://geothermal.earth.lsa.umich.edu/DATA/CA-8814.html,J-C Mareschal,CA
182,CA-8820,-77.79,44.53,http://geothermal.earth.lsa.umich.edu/DATA/CA-8820.html,J-C Mareschal,CA
183,CA-8901,-78.72,43.87,http://geothermal.earth.lsa.umich.edu/DATA/CA-8901.html,J-C Mareschal,CA
184,CA-8907,-78.50,44.86,http://geothermal.earth.lsa.umich.edu/DATA/CA-8907.html,J-C Mareschal,CA
185,CA-8910,-77.72,44.87,http://geothermal.earth.lsa.umich.edu/DATA/CA-8910.html,J-C Mareschal,CA
186,CA-8911,-77.72,44.87,http://geothermal.earth.lsa.umich.edu/DATA/CA-8911.html,J-C Mareschal,CA
187,CA-8917,-77.18,44.72,http://geothermal.earth.lsa.umich.edu/DATA/CA-8917.html,J-C Mareschal,CA
188,CA-8920,-77.18,44.72,http://geothermal.earth.lsa.umich.edu/DATA/CA-8920.html,J-C Mareschal,CA
189,CA-8925,-81.07,46.44,http://geothermal.earth.lsa.umich.edu/DATA/CA-8925.html,J-C Mareschal,CA
190,CA-8926,-81.05,46.43,http://geothermal.earth.lsa.umich.edu/DATA/CA-8926.html,J-C Mareschal,CA
191,CA-8927,-81.05,46.43,http://geothermal.earth.lsa.umich.edu/DATA/CA-8927.html,J-C Mareschal,CA
192,CA-8928,-72.77,49.47,http://geothermal.earth.lsa.umich.edu/DATA/CA-8928.html,J-C Mareschal,CA
193,CA-9001,-77.53,48.06,http://geothermal.earth.lsa.umich.edu/DATA/CA-9001.html,J-C Mareschal,CA
194,CA-9008,-74.17,49.89,http://geothermal.earth.lsa.umich.edu/DATA/CA-9008.html,J-C Mareschal,CA
195,CA-9009,-74.17,49.90,http://geothermal.earth.lsa.umich.edu/DATA/CA-9009.html,J-C Mareschal,CA
196,CA-9010,-74.33,49.88,http://geothermal.earth.lsa.umich.edu/DATA/CA-9010.html,J-C Mareschal,CA
197,CA-9012,-74.33,49.88,http://geothermal.earth.lsa.umich.edu/DATA/CA-9012.html,J-C Mareschal,CA
198,CA-9013,-70.09,47.70,http://geothermal.earth.lsa.umich.edu/DATA/CA-9013.html,J-C Mareschal,CA
199,CA-9101,-77.58,48.13,http://geothermal.earth.lsa.umich.edu/DATA/CA-9101.html,J-C Mareschal,CA
200,CA-9103,-77.60,48.14,http://geothermal.earth.lsa.umich.edu/DATA/CA-9103.html,J-C Mareschal,CA
201,CA-9105,-78.44,48.25,http://geothermal.earth.lsa.umich.edu/DATA/CA-9105.html,J-C Mareschal,CA
202,CA-9111,-80.28,48.51,http://geothermal.earth.lsa.umich.edu/DATA/CA-9111.html,J-C Mareschal,CA
203,CA-9114,-79.72,48.52,http://geothermal.earth.lsa.umich.edu/DATA/CA-9114.html,J-C Mareschal,CA
204,CA-9115,-79.72,48.52,http://geothermal.earth.lsa.umich.edu/DATA/CA-9115.html,J-C Mareschal,CA
205,CA-9116,-79.72,48.52,http://geothermal.earth.lsa.umich.edu/DATA/CA-9116.html,J-C Mareschal,CA
206,CA-9202,-76.65,49.24,http://geothermal.earth.lsa.umich.edu/DATA/CA-9202.html,J-C Mareschal,CA
207,CA-9203,-76.65,49.24,http://geothermal.earth.lsa.umich.edu/DATA/CA-9203.html,J-C Mareschal,CA
208,CA-9204,-75.98,49.60,http://geothermal.earth.lsa.umich.edu/DATA/CA-9204.html,J-C Mareschal,CA
209,CA-9206,-76.17,49.49,http://geothermal.earth.lsa.umich.edu/DATA/CA-9206.html,J-C Mareschal,CA
210,CA-9207,-76.17,49.49,http://geothermal.earth.lsa.umich.edu/DATA/CA-9207.html,J-C Mareschal,CA
211,CA-9209,-74.61,49.48,http://geothermal.earth.lsa.umich.edu/DATA/CA-9209.html,J-C Mareschal,CA
212,CA-9211,-74.62,45.48,http://geothermal.earth.lsa.umich.edu/DATA/CA-9211.html,J-C Mareschal,CA
213,CA-9212,-77.69,48.53,http://geothermal.earth.lsa.umich.edu/DATA/CA-9212.html,J-C Mareschal,CA
214,CA-9213,-77.69,48.53,http://geothermal.earth.lsa.umich.edu/DATA/CA-9213.html,J-C Mareschal,CA
215,CA-9214,-77.69,48.53,http://geothermal.earth.lsa.umich.edu/DATA/CA-9214.html,J-C Mareschal,CA
216,CA-9301,-98.64,54.88,http://geothermal.earth.lsa.umich.edu/DATA/CA-9301.html,J-C Mareschal,CA
217,CA-9302,-98.64,54.88,http://geothermal.earth.lsa.umich.edu/DATA/CA-9302.html,J-C Mareschal,CA
218,CA-9305,-101.83,54.72,http://geothermal.earth.lsa.umich.edu/DATA/CA-9305.html,J-C Mareschal,CA
219,CA-9306,-100.38,54.57,http://geothermal.earth.lsa.umich.edu/DATA/CA-9306.html,J-C Mareschal,CA
220,CA-9307,-101.89,54.79,http://geothermal.earth.lsa.umich.edu/DATA/CA-9307.html,J-C Mareschal,CA
221,CA-9308,-99.98,54.87,http://geothermal.earth.lsa.umich.edu/DATA/CA-9308.html,J-C Mareschal,CA
222,CA-9309,-99.95,54.85,http://geothermal.earth.lsa.umich.edu/DATA/CA-9309.html,J-C Mareschal,CA
223,CA-9400,-66.64,50.21,http://geothermal.earth.lsa.umich.edu/DATA/CA-9400.html,J-C Mareschal,CA
224,CA-9402,-66.43,50.30,http://geothermal.earth.lsa.umich.edu/DATA/CA-9402.html,J-C Mareschal,CA
